"query_id","label","query_text","relevant_count"
"q_architecture","ARCHITECTURE","photo showcasing architectural exteriors such as landmark buildings city skylines monuments or modern facades","77"
"q_card","CARD","close up photo of bank cards or id cards","12"
"q_drawing","DRAWING","an illustration, a manga style drawing or a hand drawing without printed text","150"
"q_electronics","ELECTRONICS","photo focusing on modern electronic devices such as phones tablets laptops or gaming consoles","19"
"q_food","FOOD","photos of delicious food desserts or drinks","28"
"q_group","GROUP","a group photo of several friends taking a selfie together","8"
"q_nature","NATURE","a natural landscape photo showing mountains rivers or forests under bright daylight","24"
"q_pets","PETS","cute pet portrait featuring cats dogs or other domestic animals","7"
"q_plants","PLANTS","close up photo focusing on vibrant plants flowers or leaves","10"
"q_qrcode","QRCODE","image showing a large qr code or barcode on paper or a phone screen","1"
"q_selfie","SELFIE","a close up selfie portrait of one person facing the camera with no printed text overlay","18"
"q_text","TEXT","a text photo or a messaging screenshot mostly filled with text or forms","60"
"q_vehicles","VEHICLES","photo highlighting modern transportation vehicles such as cars trains airplanes or bikes","9"
